keys,en,zh_CN,ja,zh_TW
stats_d_zone,"D:%.1f%%","D:%.1f%%","D:%.1f%%","D:%.1f%%"
stats_miss,"Miss:%.1f%%","脱靶:%.1f%%","ミス:%.1f%%","脱靶:%.1f%%"
stats_count,"Count:%d","弹数:%d","カウント:%d","彈數:%d"
stats_fastest,"Fastest:%.2fs","最快:%.2fs","最速:%.2fs","最快:%.2fs"
stats_average,"Average:%.2fs","平均:%.2fs","平均:%.2fs","平均:%.2fs"
stats_fastest_no_data,"Fastest:--","最快:--","最速:--","最快:--"
stats_average_no_data,"Average:--","平均:--","平均:--","平均:--"
points_down,"Points Down", "失分", "ポイントダウン", "失分"
SUCCESS,"SUCCESS","成功","成功","成功"
FAILURE,"FAILURE","失败","失敗","失敗"
first_shot,"First Shot:","首发:","初弾:","首發:"
idpa_drill_history,IDPA Drill History,IDPA 训练记录,IDPA 訓練履歴,IDPA 訓練記錄
down_points,Downpts,扣分,減点,扣分
dismiss,Dismiss,取消,キャンセル,取消
only_one_master_config,Only One Master Can Be Configurated in Your Network,只能配置一个主设备在您的网络中,ネットワークで設定できるマスターは1つだけです,只能配置一個主設備在您的網路中
level_cleared,Cleared!,通关！,クリア！,通關！
level_failed,Failed!,失败！,失敗！,失敗！
level_label,Level,关卡,レベル,關卡
coin_label,Coin,金币,コイン,金幣
bonus_label,Bonus,奖励,ボーナス,獎勵
replay_button,Replay,重玩,リプレイ,重玩software_upgrade,Software Upgrade,软件升级,ソフトウェアのアップグレード,軟體升級
wifi_status_unknown,"WiFi Status: Unknown","WiFi 状态：未知","WiFi ステータス: 不明","WiFi 狀態：未知"
wifi_connected,"✓ WiFi Connected (%s)","✓ WiFi 已连接 (%s)","✓ WiFi 接続済み (%s)","✓ WiFi 已連線 (%s)"
wifi_not_connected,"✗ WiFi Not Connected",✗ WiFi 未连接,✗ WiFi 未接続,✗ WiFi 未連線
waiting_upgrade_command,"Waiting for upgrade command from mobile app...","正在等待来自移动应用的升级指令...","モバイルアプリからのアップグレードコマンドを待機中...","正在等待來自行動應用的升級指令..."
downloading_software,Downloading Software...,正在下载软件...,ソフトウェアをダウンロード中...,正在下載軟體...
version,"Version: ","版本: ","バージョン: ","版本: "
upgrade_success,"Upgrade completed successfully!

Please restart the application via the mobile app.","升级成功完成！

请通过移动应用重启应用程序。","アップグレードが正常に完了しました！

モバイルアプリからアプリケーションを再起動してください。","升級成功完成！

請透過行動應用重啟應用程式。"
upgrade_failed,"Upgrade failed. Please check your WiFi connection and try again.","升级失败。请检查您的 WiFi 连接并重试。","アップグレードに失敗しました。WiFi 接続を確認して、もう一度お試しください。","升級失敗。請檢查您的 WiFi 連線並重試。"
retry,Retry,重试,再試行,重試
back_to_options,Back to Options,返回选项,オプションに戻る,返回選項
wifi_not_connected_error,"WiFi not connected. Please connect to WiFi and try again.","WiFi 未连接。请连接到 WiFi 并重试。","WiFi が接続されていません。WiFi に接続して、もう一度お試しください。","WiFi 未連線。請連線到 WiFi 並重試。"
download_in_progress,"Download in progress. Please wait...","正在下载，请稍候...","ダウンロード中です。お待ちください...","正在下載，請稍候..."
shot_1,Shot 1,第一发,ショット 1,第一發
shot_2,Shot 2,第二发,ショット 2,第二發
total,Total,合计,合計,合計
split,Split,分段,スプリット,分段
